City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
290,haiku-pauwela,20.9219,-156.3051,23.91,71,20,2.57,US,1701928078
291,mizdah,31.4451,12.9801,10.53,54,26,3.45,LY,1701928079
292,carnarvon,-24.8667,113.6333,25.92,59,0,10.18,AU,1701928080
293,filadelfia,39.9523,-75.1638,2.01,65,40,3.6,US,1701927895
294,reggane,26.7158,0.1714,17.15,34,11,3.6,DZ,1701928082
295,chibougamau,49.9168,-74.3659,-13.21,85,100,0.0,CA,1701928083
296,ivdel',60.6911,60.4206,-37.12,100,37,0.89,RU,1701928084
297,dalandzadgad,43.5708,104.425,7.94,23,40,12.47,MN,1701928085
298,chehalis,46.662,-122.964,8.84,99,100,0.0,US,1701928087
299,mkuranga,-7.118,39.2078,27.55,78,85,2.04,TZ,1701928088
300,kibaya,-5.3,36.5667,20.44,77,60,1.49,TZ,1701928089
301,bereznik,62.8551,42.7072,-23.54,97,43,1.65,RU,1701928090
302,naze,28.3667,129.4833,18.51,55,0,4.13,JP,1701928091
303,matoury,4.8483,-52.3317,25.98,89,75,3.09,GF,1701928092
304,sihanoukville,10.6093,103.5296,30.97,70,40,3.6,KH,1701928093
305,selkirk,50.1436,-96.8845,2.88,80,63,0.89,CA,1701928094
306,uturoa,-16.7333,-151.4333,25.83,83,100,8.6,PF,1701928096
307,misliyah,17.4599,42.5572,27.2,61,7,2.05,SA,1701928097
308,ilulissat,69.2167,-51.1,1.01,47,91,6.69,GL,1701928098
309,nizhneudinsk,54.9076,99.0276,-18.52,88,100,4.58,RU,1701928099
310,nagqu,31.5,92.0,-6.01,50,6,0.8,CN,1701928100
311,juruti,-2.1522,-56.0922,24.69,89,20,1.56,BR,1701928102
312,obo,5.3998,26.4869,24.12,80,16,0.91,CF,1701928104
313,neerpelt,51.2281,5.442,2.63,88,100,2.57,BE,1701928105
314,kapa'a,22.0752,-159.319,24.18,88,20,5.14,US,1701928106
315,al ghayzah,16.2079,52.176,26.01,48,6,2.14,YE,1701928107
316,peniche,39.3558,-9.3811,15.72,90,100,7.09,PT,1701928108
317,monterey,36.2505,-121.2516,10.65,92,42,2.6,US,1701927938
318,quellon,-43.1167,-73.6167,6.88,91,3,1.74,CL,1701928111
319,mangalia,43.8,28.5833,9.01,89,100,7.06,RO,1701928112
320,port saint john's,-31.6229,29.5448,21.0,82,100,3.54,ZA,1701928113
321,hecun,36.5333,114.1111,20.68,15,2,6.56,CN,1701928114
322,toliara,-23.35,43.6667,30.23,54,12,5.56,MG,1701928115
323,cannonvale,-20.2833,148.7,27.66,64,21,8.46,AU,1701928116
